,NE능률,덕성,삼부토건,신원종합개발,안랩
-5,,,,,
-4,6.645750423824399,15.897564219565169,-0.338859785108045,0.8917887636506374,-14.213110265568343
-3,1.3414180825220292,14.55428991382664,-2.0028392787641467,-6.422119708316478,-14.35833583062557
-2,1.580793712500856,19.732688609508077,-1.3333545962720177,-4.374372001192988,-16.45434283678487
-1,-4.4094576952293725,15.116593219132346,-3.0968262755345366,-3.3275014820560727,-16.04509410774859
0,3.8838842713104658,17.41819261497062,-3.9246916541287207,-1.91282477764025,-11.105284660889893
1,,,,,
2,,,,,
3,-8.703131927186105,-0.45614369002413824,-4.203588053184531,24.267558796274372,-9.566824646730268
4,-15.951998605273616,-5.705491481839517,-6.052520049633266,37.59968185384628,-9.711287661348981
5,-21.03344257075481,-7.384972760389049,-8.349234310419911,39.17508587351778,-10.787517211078967
